line_id,name,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,max_i_ka,parallel,in_service
1,LINE_1,1,2,1.0,1.097675,3.703,2587.3960502652176,49.7023275215417,1,True
2,LINE_2,2,3,1.0,3.94105,11.24125,1640.6898985402695,49.7023275215417,1,True
3,LINE_3,3,4,1.0,1.4812,4.84035,762.1786814734749,49.7023275215417,1,True
4,LINE_4,4,5,1.0,8.265625,17.457,517.4792100530435,49.7023275215417,1,True
5,LINE_5,4,6,1.0,5.68675,19.573,697.9952135599191,49.7023275215417,1,True
6,LINE_6,6,7,1.0,2.645,13.4895,553.5824107544186,49.7023275215417,1,True
7,LINE_7,6,8,1.0,4.483275,22.87925,942.6946849803506,49.7023275215417,1,True
8,LINE_8,8,9,1.0,1.309275,6.678625,1099.1418880196427,49.7023275215417,1,True
9,LINE_9,9,10,1.0,4.880025,22.204775,882.522683811392,49.7023275215417,1,True
10,LINE_10,9,11,1.0,3.41205,11.2148,437.24987516109877,49.7023275215417,1,True
11,LINE_11,9,12,1.0,8.5698,39.01374999999999,1548.4261634145334,49.7023275215417,1,True
12,LINE_12,9,13,1.0,6.361225,20.8955,814.3277491532389,49.7023275215417,1,True
13,LINE_13,13,14,1.0,1.7457,5.73965,220.630670952848,49.7023275215417,1,True
14,LINE_14,13,15,1.0,3.557525,11.492525,461.3186756286822,49.7023275215417,1,True
15,LINE_15,1,15,1.0,2.35405,12.03475,1981.664571831035,49.7023275215417,1,True
16,LINE_16,1,16,1.0,6.00415,27.2435,1095.1304212750456,49.7023275215417,1,True
17,LINE_17,1,17,1.0,3.14755,14.283,573.6397444774047,49.7023275215417,1,True
18,LINE_18,3,15,1.0,2.14245,7.00925,1091.1189545304483,49.7023275215417,1,True
19,LINE_19,5,6,1.0,3.99395,8.477225,248.7109381650286,49.7023275215417,1,True
20,LINE_20,7,8,1.0,1.838275,9.4162,389.11227422593197,49.7023275215417,1,True
21,LINE_21,10,12,1.0,3.663325,16.68995,657.8805461139468,49.7023275215417,1,True
22,LINE_22,11,13,1.0,2.949175,9.6807,377.07787399214027,49.7023275215417,1,True
23,LINE_23,12,13,1.0,2.35405,7.6705,1211.4629568683656,49.7023275215417,1,True
24,LINE_24,12,16,1.0,2.3805,10.751925,433.2384084165016,49.7023275215417,1,True
25,LINE_25,12,17,1.0,5.250325,23.67275,954.7290852141423,49.7023275215417,1,True
26,LINE_26,14,15,1.0,2.261475,7.234075,296.84853910019547,49.7023275215417,1,True
27,LINE_27,18,19,1.0,1152.5,1712.5000000000002,0.0,11.43153532995459,1,True
28,LINE_28,19,20,1.0,707.4999999999999,1085.0,0.0,11.43153532995459,1,True
29,LINE_29,21,22,1.0,14.016384,22.28148,0.0,41.41860626795142,1,True
30,LINE_30,22,23,1.0,1.885356,2.894688,0.0,41.41860626795142,1,True
31,LINE_31,23,24,1.0,31.61304,48.75264,117.00111338408605,41.41860626795142,1,True
32,LINE_32,26,27,1.0,42.76965,65.83933999999999,0.0,35.50166251538693,1,True
33,LINE_33,27,28,1.0,16.019178,24.728634,0.0,35.50166251538693,1,True
34,LINE_34,28,29,1.0,10.834978,15.215627,0.0,35.50166251538693,1,True
35,LINE_35,25,30,1.0,160.68375,240.43050000000002,0.0,16.56744250718057,1,True
36,LINE_36,30,31,1.0,388.0215,591.55425,0.0,16.56744250718057,1,True
37,LINE_37,31,32,1.0,603.45675,898.63875,0.0,16.56744250718057,1,True
38,LINE_38,32,33,1.0,46.6578,42.849,0.0,16.56744250718057,1,True
39,LINE_39,34,35,1.0,9.90288,14.85432,44.57185271774708,41.41860626795142,1,True
40,LINE_40,35,36,1.0,8.18892,10.226628,22.28592635887354,41.41860626795142,1,True
41,LINE_41,36,37,1.0,5.52276,6.970104,0.0,41.41860626795142,1,True
42,LINE_42,37,38,1.0,12.397644,19.215396,27.85740794859192,41.41860626795142,1,True
43,LINE_43,37,39,1.0,4.551516,7.217676,0.0,41.41860626795142,1,True
44,LINE_44,36,40,1.0,5.7132,8.874504,0.0,41.41860626795142,1,True
45,LINE_45,22,38,1.0,3.656448,5.61798,0.0,41.41860626795142,1,True
46,LINE_46,41,42,1.0,109.503,186.208,0.0,24.85116376077085,1,True
47,LINE_47,41,43,1.0,0.0,217.94799999999998,0.0,24.85116376077085,1,True
48,LINE_48,38,44,1.0,5.503716,11.14074,27.85740794859192,41.41860626795142,1,True
49,LINE_49,46,47,1.0,4.38012,12.94992,44.57185271774708,41.41860626795142,1,True
50,LINE_50,47,48,1.0,3.466008,4.437252,0.0,41.41860626795142,1,True
51,LINE_51,48,49,1.0,15.882696,24.56676,66.85777907662062,41.41860626795142,1,True
52,LINE_52,49,50,1.0,15.254244,24.37632,0.0,41.41860626795142,1,True
53,LINE_53,50,51,1.0,26.394984,41.8968,0.0,41.41860626795142,1,True
54,LINE_54,29,52,1.0,37.378082,48.47226999999999,0.0,35.50166251538693,1,True
55,LINE_55,52,53,1.0,19.751802,25.506264,0.0,35.50166251538693,1,True
56,LINE_56,53,54,1.0,48.679638,60.13672,0.0,35.50166251538693,1,True
57,LINE_57,54,55,1.0,44.895172,58.711065,0.0,35.50166251538693,1,True
58,LINE_58,44,45,1.0,11.883456,23.652648,55.71481589718384,41.41860626795142,1,True
59,LINE_59,56,41,1.0,292.53700000000003,290.42100000000005,0.0,24.85116376077085,1,True
60,LINE_60,56,42,1.0,112.4125,187.266,0.0,24.85116376077085,1,True
61,LINE_61,57,56,1.0,92.04599999999999,137.54,0.0,24.85116376077085,1,True
62,LINE_62,38,49,1.0,21.9006,33.70788,41.78611192288788,41.41860626795142,1,True
63,LINE_63,38,48,1.0,5.941728,9.179208,0.0,41.41860626795142,1,True
