meas_id,name,meas_type,element_type,element,value,std_dev,side
0,V_bus1,v,bus,1,1.04061,0.004,
1,V_bus2,v,bus,2,1.00792,0.004,
2,V_bus3,v,bus,3,0.9865,0.004,
3,V_bus4,v,bus,4,0.98192,0.004,
4,V_bus5,v,bus,5,0.97235,0.004,
5,V_bus6,v,bus,6,0.9774,0.004,
6,V_bus7,v,bus,7,0.98045,0.004,
7,V_bus8,v,bus,8,1.00437,0.004,
8,V_bus9,v,bus,9,0.97997,0.004,
9,V_bus10,v,bus,10,0.97973,0.004,
10,V_bus11,v,bus,11,0.97353,0.004,
11,V_bus12,v,bus,12,1.01656,0.004,
12,V_bus13,v,bus,13,0.98311,0.004,
13,V_bus14,v,bus,14,0.97846,0.004,
14,V_bus15,v,bus,15,0.98741,0.004,
15,V_bus16,v,bus,16,1.01161,0.004,
16,V_bus17,v,bus,17,1.01815,0.004,
17,V_bus18,v,bus,18,0.94144,0.004,
18,V_bus19,v,bus,19,0.90083,0.004,
19,V_bus20,v,bus,20,0.885,0.004,
20,V_bus21,v,bus,21,0.84259,0.004,
21,V_bus22,v,bus,22,0.84111,0.004,
22,V_bus23,v,bus,23,0.84301,0.004,
23,V_bus24,v,bus,24,0.82621,0.004,
24,V_bus25,v,bus,25,0.78279,0.004,
25,V_bus26,v,bus,26,0.86379,0.004,
26,V_bus27,v,bus,27,0.89925,0.004,
27,V_bus28,v,bus,28,0.91879,0.004,
28,V_bus29,v,bus,29,0.93575,0.004,
29,V_bus30,v,bus,30,0.7579,0.004,
30,V_bus31,v,bus,31,0.7242,0.004,
31,V_bus32,v,bus,32,0.73375,0.004,
32,V_bus33,v,bus,33,0.73057,0.004,
33,V_bus34,v,bus,34,0.79409,0.004,
34,V_bus35,v,bus,35,0.80547,0.004,
35,V_bus36,v,bus,36,0.81816,0.004,
36,V_bus37,v,bus,37,0.82354,0.004,
37,V_bus38,v,bus,38,0.84438,0.004,
38,V_bus39,v,bus,39,0.82092,0.004,
39,V_bus40,v,bus,40,0.8174,0.004,
40,V_bus41,v,bus,41,0.87754,0.004,
41,V_bus42,v,bus,42,0.82367,0.004,
42,V_bus43,v,bus,43,0.91381,0.004,
43,V_bus44,v,bus,44,0.8663,0.004,
44,V_bus45,v,bus,45,0.92071,0.004,
45,V_bus46,v,bus,46,0.87118,0.004,
46,V_bus47,v,bus,47,0.85377,0.004,
47,V_bus48,v,bus,48,0.85092,0.004,
